"Statistic","HalfYear","Number of Bedrooms","Property Type","Location","UNIT","VALUE"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Kill, Kildare","Euro","1366.1"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Leixlip, Kildare","Euro","1358.59"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Maynooth, Kildare","Euro","1452.68"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Monasterevin, Kildare","Euro","946.52"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Naas, Kildare","Euro","1301.32"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Newbridge, Kildare","Euro","1098.89"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Rathangan, Kildare","Euro","996.4"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Sallins, Kildare","Euro","1231.88"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Kilkenny","Euro","860.59"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Kilkenny City","Euro","900.62"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Callan, Kilkenny","Euro","835.82"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Castlecomer, Kilkenny","Euro","964.3"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Freshford, Kilkenny","Euro","733.92"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Kells, Kilkenny","Euro",""
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Thomastown, Kilkenny","Euro","847.92"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Laois","Euro","842.42"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Mountmellick, Laois","Euro","746.64"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Mountrath, Laois","Euro","736.12"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Portarlington, Laois","Euro","805.67"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Portlaoise, Laois","Euro","904.85"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Leitrim","Euro","539.24"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Carrick-On-Shannon, Leitrim","Euro","564.76"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Manorhamilton, Leitrim","Euro","497.17"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Limerick","Euro","963.95"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Limerick City","Euro","983.56"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Abbeyfeale, Limerick","Euro","556.04"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Annacotty, Limerick","Euro","1176.96"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Castleconnell, Limerick","Euro","984.1"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Castletroy, Limerick","Euro","1165.1"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Corbally, Limerick","Euro","1043.39"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Dock Road, Limerick","Euro","863.87"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Dooradoyle, Limerick","Euro","1093.97"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Glen, Limerick","Euro",""
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Kilmallock, Limerick","Euro","657.28"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Newcastle West, Limerick","Euro","661.02"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Old Cratloe Road, Limerick","Euro",""
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Raheen, Limerick","Euro","1081.78"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Longford","Euro","603.3"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Longford Town","Euro","612.28"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Ballymahon, Longford","Euro","626.09"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Edgeworthstown, Longford","Euro","549.32"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Newtownforbes, Longford","Euro","614.39"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Louth","Euro","1022.17"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Ardee, Louth","Euro","929.66"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Drogheda, Louth","Euro","1072.56"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Dundalk, Louth","Euro","989.5"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Louth Town","Euro",""
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Mayo","Euro","642.44"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Ballina, Mayo","Euro","611.92"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Ballinrobe, Mayo","Euro","565.17"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Ballyhaunis, Mayo","Euro","520.67"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Belmullet, Mayo","Euro","580.8"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Castlebar, Mayo","Euro","691.23"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Charlestown, Mayo","Euro","521.03"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Claremorris, Mayo","Euro","614.22"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Foxford, Mayo","Euro","584.54"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Swinford, Mayo","Euro","523.76"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Westport, Mayo","Euro","755.61"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Meath","Euro","1134.57"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Ashbourne, Meath","Euro","1297.59"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Athboy, Meath","Euro","926.71"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Bettystown, Meath","Euro","1136.35"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Clonee, Meath","Euro","1382.16"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Drogheda, Meath","Euro","1231.34"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Duleek, Meath","Euro","1079.9"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Dunboyne, Meath","Euro","1434.43"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Dunshaughlin, Meath","Euro","1263.69"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Enfield, Meath","Euro","1220.03"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Kells, Meath","Euro","899.47"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Laytown, Meath","Euro","1161.53"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Navan, Meath","Euro","1126.36"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Ratoath, Meath","Euro","1352.26"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Stamullen, Meath","Euro","1212.78"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Trim, Meath","Euro","1062.98"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Monaghan","Euro","650.37"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Ballybay, Monaghan","Euro","553.33"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Carrickmacross, Monaghan","Euro","723.73"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Castleblayney, Monaghan","Euro","607.95"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Monaghan Town","Euro","654.38"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Offaly","Euro","743.61"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Banagher, Offaly","Euro","564.01"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Birr, Offaly","Euro","590.14"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Clara, Offaly","Euro","700.12"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Edenderry, Offaly","Euro","767.23"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Tullamore, Offaly","Euro","816.84"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Roscommon","Euro","621.34"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Roscommon Town","Euro","688.72"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Athlone, Roscommon","Euro","853.75"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Ballaghaderreen, Roscommon","Euro","425.98"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Boyle, Roscommon","Euro","563.62"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Castlerea, Roscommon","Euro","522.89"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Strokestown, Roscommon","Euro","513.28"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Sligo","Euro","704.43"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Sligo Town","Euro","732.08"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Ballinode, Sligo","Euro","883.58"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Ballisodare, Sligo","Euro","700.59"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Ballymote, Sligo","Euro","564.9"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Ballytivnan, Sligo","Euro",""
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Collooney, Sligo","Euro","669.6"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Lough Gill, Sligo","Euro",""
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Strandhill, Sligo","Euro","879.68"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Tubbercurry, Sligo","Euro","588.37"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Tipperary","Euro","667.16"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Tipperary Town","Euro","587.61"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Ballina, Tipperary","Euro","936.48"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Cahir, Tipperary","Euro","609.34"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Carrick-On-Suir, Tipperary","Euro","628.69"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Cashel, Tipperary","Euro","670.97"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Clonmel, Tipperary","Euro","734.55"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Fethard, Tipperary","Euro","648.68"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Nenagh, Tipperary","Euro","686.98"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Roscrea, Tipperary","Euro","608.84"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Templemore, Tipperary","Euro","615.5"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Thurles, Tipperary","Euro","629.18"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Waterford","Euro","774.57"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Waterford City","Euro","797.1"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Ballytruckle, Waterford","Euro",""
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Canada Street, Waterford","Euro","829.1"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Castle Place, Waterford","Euro",""
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Cork Road, Waterford","Euro","655.82"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Dungarvan, Waterford","Euro","739.02"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Dunmore East, Waterford","Euro","842.38"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Dunmore Road, Waterford","Euro","983.71"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Ferrybank, Waterford","Euro","869.97"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Inner Ring Road, Waterford","Euro",""
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Johns Hill, Waterford","Euro","827.36"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Lismore, Waterford","Euro","730.02"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Mary Street, Waterford","Euro",""
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Penrose Lane, Waterford","Euro","765.2"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Poleberry, Waterford","Euro",""
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Portlaw, Waterford","Euro","675.1"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Railway Square, Waterford","Euro",""
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Scotch Quay, Waterford","Euro",""
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Templars Hall, Waterford","Euro","931.18"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Tramore, Waterford","Euro","752.84"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Westmeath","Euro","802.21"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Athlone, Westmeath","Euro","845.65"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Castlepollard, Westmeath","Euro","654.81"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Kilbeggan, Westmeath","Euro","720.33"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Kinnegad, Westmeath","Euro","850.68"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Moate, Westmeath","Euro","747.34"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Mullingar, Westmeath","Euro","785.28"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Wexford","Euro","750.59"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Bunclody, Wexford","Euro","643.17"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Clonard, Wexford","Euro","796.88"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Enniscorthy, Wexford","Euro","676.84"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Ferns, Wexford","Euro","716.38"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Ford, Wexford","Euro",""
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Gorey, Wexford","Euro","878.23"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Mulgannon, Wexford","Euro","775.76"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","New Ross, Wexford","Euro","639.1"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Rosslare, Wexford","Euro","791.9"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Wicklow","Euro","1226.75"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Wicklow Town","Euro","1096.5"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Arklow, Wicklow","Euro","988.43"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Baltinglass, Wicklow","Euro","894.4"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Blessington, Wicklow","Euro","1310.92"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Bray, Wicklow","Euro","1310.15"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Delgany, Wicklow","Euro","1541.45"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Greystones, Wicklow","Euro","1596.1"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Kilcoole, Wicklow","Euro","1327.47"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Newtownmountkennedy, Wicklow","Euro","1294.52"
"RTB Average Monthly Rent Report","2019H1","All bedrooms","All property types","Rathnew, Wicklow","Euro","1112.04"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Carlow","Euro","859.05"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Carlow Town","Euro","887.81"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Graiguecullen, Carlow","Euro","905.38"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Tullow, Carlow","Euro","809.16"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Cavan","Euro","645.75"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Cavan Town","Euro","664.37"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Bailieborough, Cavan","Euro","595.99"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Ballyconnell, Cavan","Euro","572.32"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Ballyjamesduff, Cavan","Euro","640.8"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Belturbet, Cavan","Euro","574.96"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Cootehill, Cavan","Euro","571.63"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Kingscourt, Cavan","Euro","686.86"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Virginia, Cavan","Euro","799.48"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Clare","Euro","733.95"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Ennis, Clare","Euro","753.77"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Killaloe, Clare","Euro","825.08"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Kilrush, Clare","Euro","528.14"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Newmarket-On-Fergus, Clare","Euro",""
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Shannon, Clare","Euro","784.2"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Sixmilebridge, Clare","Euro","772.44"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Cork","Euro","1111.28"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Cork City","Euro","1235.91"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Ballincollig, Cork","Euro","1216.74"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Ballintemple, Cork","Euro","1375.75"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Ballinure, Cork","Euro",""
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Bandon, Cork","Euro","903.08"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Bantry, Cork","Euro","677.32"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Bishopstown, Cork","Euro","1359.44"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Blackpool, Cork","Euro","1027.66"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Blackrock, Cork","Euro","1363.72"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Blarney, Cork","Euro","1111.51"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Carrigaline, Cork","Euro","1193.84"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Carrigtwohill, Cork","Euro","1110.25"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Castlemartyr, Cork","Euro","863.97"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Charleville, Cork","Euro","738.48"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Clonakilty, Cork","Euro","839.57"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Cloyne, Cork","Euro","1018.55"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Cobh, Cork","Euro","947.78"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Crosshaven, Cork","Euro","1144.7"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Douglas, Cork","Euro","1331.37"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Dunmanway, Cork","Euro","750.33"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Fermoy, Cork","Euro","861.62"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Frankfield, Cork","Euro","1286.38"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Glanmire, Cork","Euro","1170.19"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Kanturk, Cork","Euro","841.91"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Kinsale, Cork","Euro","1201.65"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Macroom, Cork","Euro","799.83"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Mallow, Cork","Euro","905.6"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Midleton, Cork","Euro","1060.27"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Millstreet, Cork","Euro","735.79"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Mitchelstown, Cork","Euro","765.57"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Montenotte, Cork","Euro","1092.09"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Passage West, Cork","Euro","1087.59"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Rathcormac, Cork","Euro","936.78"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Ringaskiddy, Cork","Euro",""
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Rochestown, Cork","Euro","1405.05"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Skibbereen, Cork","Euro","680.13"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Tivoli, Cork","Euro",""
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Tower, Cork","Euro",""
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Whitegate, Cork","Euro",""
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Wilton, Cork","Euro","1246.89"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Youghal, Cork","Euro","835.23"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Donegal","Euro","581.77"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Donegal Town","Euro","579.9"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Ballybofey, Donegal","Euro","546.98"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Buncrana, Donegal","Euro","536.56"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Bundoran, Donegal","Euro","527.46"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Carndonagh, Donegal","Euro","474.27"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Letterkenny, Donegal","Euro","640.97"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Lifford, Donegal","Euro","474.16"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Stranorlar, Donegal","Euro","545.55"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Dublin","Euro","1779.63"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Balbriggan, Dublin","Euro","1347.07"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Blackrock, Dublin","Euro","2121.47"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Booterstown, Dublin","Euro","2172.75"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Cabinteely, Dublin","Euro",""
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Citywest, Dublin","Euro",""
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Dalkey, Dublin","Euro","2735.38"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Donabate, Dublin","Euro","1491.58"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Dun Laoghaire, Dublin","Euro","1989.66"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Glenageary, Dublin","Euro","2481.4"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Howth, Dublin","Euro","1976.71"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Killiney, Dublin","Euro","2221.98"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Kinsealy, Dublin","Euro","1655.16"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Lucan, Dublin","Euro","1626.96"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Lusk, Dublin","Euro","1453.19"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Malahide, Dublin","Euro","2050.34"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Monkstown, Dublin","Euro","1947.63"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Mount Merrion, Dublin","Euro","2831.44"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Portmarnock, Dublin","Euro","1772.97"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Rathcoole, Dublin","Euro","1581.8"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Rush, Dublin","Euro","1426.15"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Saggart, Dublin","Euro","1614.08"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Sandycove, Dublin","Euro","2185.47"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Shankill, Dublin","Euro","1654.53"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Skerries, Dublin","Euro","1483.13"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Stepaside, Dublin","Euro",""
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Stillorgan, Dublin","Euro","1962.3"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Swords, Dublin","Euro","1517.56"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Dublin 1","Euro","1582.8"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","I.F.S.C., Dublin 1","Euro","1876.68"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Parnell Street, Dublin 1","Euro","1732.29"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Spencer Dock, Dublin 1","Euro","2120.57"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Summerhill, Dublin 1","Euro","1674.51"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Dublin 2","Euro","2107.92"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Aungier Street, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Charlemont Street, Dublin 2","Euro","1954.71"
"RTB Average Monthly Rent Report","2019H2","All bedrooms","All property types","Grand Canal Dock, Dublin 2","Euro","2586.48"
