"Statistic","CensusYear","Sex","Aggregate Town or Rural Area","County and City","UNIT","VALUE"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","State","%","4.6"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Carlow","%","7.1"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Dublin City","%","0"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Dún Laoghaire-Rathdown","%","-12.9"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Fingal","%","16.5"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","South Dublin","%","-13.5"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Kildare","%","5.9"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Kilkenny","%","6.1"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Laois","%","6.2"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Longford","%","2.1"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Louth","%","10.5"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Meath","%","2.6"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Offaly","%","5.7"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Westmeath","%","6.2"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Wexford","%","4.1"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Wicklow","%","4.4"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Clare","%","4.8"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Cork City","%","0"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Cork County","%","5.2"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Kerry","%","3.8"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Limerick City and County","%","0"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Tipperary","%","1.9"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Waterford City and County","%","3"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Galway City","%","0"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Galway County","%","2.8"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Leitrim","%","8.1"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Mayo","%","5.2"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Roscommon","%","6.7"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Sligo","%","-1"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Cavan","%","8.6"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Donegal","%","5.6"
"Percentage change since previous census","2011","Both sexes","Aggregate Rural Area","Monaghan","%","6.8"
"Percentage change since previous census","2011","Male","State","State","%","7.1"
"Percentage change since previous census","2011","Male","State","Carlow","%","7.1"
"Percentage change since previous census","2011","Male","State","Dublin City","%","3.7"
"Percentage change since previous census","2011","Male","State","Dún Laoghaire-Rathdown","%","6.1"
"Percentage change since previous census","2011","Male","State","Fingal","%","12.8"
"Percentage change since previous census","2011","Male","State","South Dublin","%","5.9"
"Percentage change since previous census","2011","Male","State","Kildare","%","11.1"
"Percentage change since previous census","2011","Male","State","Kilkenny","%","8"
"Percentage change since previous census","2011","Male","State","Laois","%","18"
"Percentage change since previous census","2011","Male","State","Longford","%","11.8"
"Percentage change since previous census","2011","Male","State","Louth","%","9.8"
"Percentage change since previous census","2011","Male","State","Meath","%","11.2"
"Percentage change since previous census","2011","Male","State","Offaly","%","6.9"
"Percentage change since previous census","2011","Male","State","Westmeath","%","7.4"
"Percentage change since previous census","2011","Male","State","Wexford","%","8.8"
"Percentage change since previous census","2011","Male","State","Wicklow","%","7.4"
"Percentage change since previous census","2011","Male","State","Clare","%","4"
"Percentage change since previous census","2011","Male","State","Cork City","%","0.6"
"Percentage change since previous census","2011","Male","State","Cork County","%","8.9"
"Percentage change since previous census","2011","Male","State","Kerry","%","2.8"
"Percentage change since previous census","2011","Male","State","Limerick City and County","%","3.4"
"Percentage change since previous census","2011","Male","State","Tipperary","%","5"
"Percentage change since previous census","2011","Male","State","Waterford City and County","%","4.7"
"Percentage change since previous census","2011","Male","State","Galway City","%","4.8"
"Percentage change since previous census","2011","Male","State","Galway County","%","8.1"
"Percentage change since previous census","2011","Male","State","Leitrim","%","8.3"
"Percentage change since previous census","2011","Male","State","Mayo","%","4.4"
"Percentage change since previous census","2011","Male","State","Roscommon","%","7.2"
"Percentage change since previous census","2011","Male","State","Sligo","%","7.2"
"Percentage change since previous census","2011","Male","State","Cavan","%","12.5"
"Percentage change since previous census","2011","Male","State","Donegal","%","8.9"
"Percentage change since previous census","2011","Male","State","Monaghan","%","6.5"
"Percentage change since previous census","2011","Male","Aggregate Town Area","State","%","9.6"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Carlow","%","8.6"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Dublin City","%","3.7"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Dún Laoghaire-Rathdown","%","6.4"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Fingal","%","12.6"
"Percentage change since previous census","2011","Male","Aggregate Town Area","South Dublin","%","6.5"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Kildare","%","14.2"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Kilkenny","%","12.9"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Laois","%","37.4"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Longford","%","43.2"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Louth","%","10.3"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Meath","%","20.3"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Offaly","%","9.9"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Westmeath","%","10.5"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Wexford","%","19.4"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Wicklow","%","9.5"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Clare","%","4.6"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Cork City","%","0.6"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Cork County","%","14.3"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Kerry","%","3.5"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Limerick City and County","%","7.4"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Tipperary","%","11.4"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Waterford City and County","%","6.1"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Galway City","%","4.8"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Galway County","%","39.8"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Leitrim","%","27.5"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Mayo","%","4.9"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Roscommon","%","12.7"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Sligo","%","25.9"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Cavan","%","27.7"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Donegal","%","20.8"
"Percentage change since previous census","2011","Male","Aggregate Town Area","Monaghan","%","8.9"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","State","%","3.6"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Carlow","%","5.8"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Dublin City","%","0"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Dún Laoghaire-Rathdown","%","-17.8"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Fingal","%","16"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","South Dublin","%","-15.9"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Kildare","%","5.3"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Kilkenny","%","5.4"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Laois","%","4.8"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Longford","%","1.3"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Louth","%","9"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Meath","%","1.3"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Offaly","%","4.8"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Westmeath","%","4.8"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Wexford","%","3.4"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Wicklow","%","3.8"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Clare","%","3.6"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Cork City","%","0"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Cork County","%","4"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Kerry","%","2.5"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Limerick City and County","%","-0.8"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Tipperary","%","1"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Waterford City and County","%","2.6"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Galway City","%","0"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Galway County","%","1.7"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Leitrim","%","6.6"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Mayo","%","4.3"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Roscommon","%","5.5"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Sligo","%","-1"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Cavan","%","7.1"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Donegal","%","5.1"
"Percentage change since previous census","2011","Male","Aggregate Rural Area","Monaghan","%","5.6"
"Percentage change since previous census","2011","Female","State","State","%","9.3"
"Percentage change since previous census","2011","Female","State","Carlow","%","9.9"
"Percentage change since previous census","2011","Female","State","Dublin City","%","4.7"
"Percentage change since previous census","2011","Female","State","Dún Laoghaire-Rathdown","%","6.5"
"Percentage change since previous census","2011","Female","State","Fingal","%","15.5"
"Percentage change since previous census","2011","Female","State","South Dublin","%","8.9"
"Percentage change since previous census","2011","Female","State","Kildare","%","14.7"
"Percentage change since previous census","2011","Female","State","Kilkenny","%","10"
"Percentage change since previous census","2011","Female","State","Laois","%","22.4"
"Percentage change since previous census","2011","Female","State","Longford","%","15.1"
"Percentage change since previous census","2011","Female","State","Louth","%","11.1"
"Percentage change since previous census","2011","Female","State","Meath","%","15"
"Percentage change since previous census","2011","Female","State","Offaly","%","9.5"
"Percentage change since previous census","2011","Female","State","Westmeath","%","9.8"
"Percentage change since previous census","2011","Female","State","Wexford","%","11.8"
"Percentage change since previous census","2011","Female","State","Wicklow","%","9.2"
"Percentage change since previous census","2011","Female","State","Clare","%","7.3"
"Percentage change since previous census","2011","Female","State","Cork City","%","-0.9"
"Percentage change since previous census","2011","Female","State","Cork County","%","12.1"
"Percentage change since previous census","2011","Female","State","Kerry","%","5.3"
"Percentage change since previous census","2011","Female","State","Limerick City and County","%","5.1"
"Percentage change since previous census","2011","Female","State","Tipperary","%","7.8"
"Percentage change since previous census","2011","Female","State","Waterford City and County","%","6.1"
"Percentage change since previous census","2011","Female","State","Galway City","%","3.9"
"Percentage change since previous census","2011","Female","State","Galway County","%","11.9"
"Percentage change since previous census","2011","Female","State","Leitrim","%","11.4"
"Percentage change since previous census","2011","Female","State","Mayo","%","6.6"
"Percentage change since previous census","2011","Female","State","Roscommon","%","10.9"
"Percentage change since previous census","2011","Female","State","Sligo","%","7.6"
"Percentage change since previous census","2011","Female","State","Cavan","%","16.3"
"Percentage change since previous census","2011","Female","State","Donegal","%","10"
"Percentage change since previous census","2011","Female","State","Monaghan","%","9.6"
"Percentage change since previous census","2011","Female","Aggregate Town Area","State","%","11.6"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Carlow","%","11.3"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Dublin City","%","4.7"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Dún Laoghaire-Rathdown","%","6.6"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Fingal","%","15.4"
"Percentage change since previous census","2011","Female","Aggregate Town Area","South Dublin","%","9.4"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Kildare","%","18.9"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Kilkenny","%","15.4"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Laois","%","43.9"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Longford","%","48.9"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Louth","%","10.6"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Meath","%","24.8"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Offaly","%","13.4"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Westmeath","%","12"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Wexford","%","24.4"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Wicklow","%","11.5"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Clare","%","9.1"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Cork City","%","-0.9"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Cork County","%","17.7"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Kerry","%","5.6"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Limerick City and County","%","8.9"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Tipperary","%","15.3"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Waterford City and County","%","7.8"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Galway City","%","3.9"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Galway County","%","49.5"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Leitrim","%","27.9"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Mayo","%","7.5"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Roscommon","%","19.9"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Sligo","%","25"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Cavan","%","32.9"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Donegal","%","21.2"
"Percentage change since previous census","2011","Female","Aggregate Town Area","Monaghan","%","13.4"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","State","%","5.6"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Carlow","%","8.5"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Dublin City","%","0"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Dún Laoghaire-Rathdown","%","-8.1"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Fingal","%","17.1"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","South Dublin","%","-10.7"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Kildare","%","6.6"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Kilkenny","%","6.9"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Laois","%","7.7"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Longford","%","2.9"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Louth","%","12"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Meath","%","3.9"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Offaly","%","6.5"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Westmeath","%","7.7"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Wexford","%","5"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Wicklow","%","4.9"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Clare","%","6"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Cork City","%","0"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Cork County","%","6.5"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Kerry","%","5.2"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Limerick City and County","%","0.8"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Tipperary","%","2.9"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Waterford City and County","%","3.4"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Galway City","%","0"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Galway County","%","4"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Leitrim","%","9.7"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Mayo","%","6.2"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Roscommon","%","8"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Sligo","%","-1"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Cavan","%","10.2"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Donegal","%","6.1"
"Percentage change since previous census","2011","Female","Aggregate Rural Area","Monaghan","%","8"
"Percentage change since previous census","2016","Both sexes","State","State","%","3.8"
"Percentage change since previous census","2016","Both sexes","State","Carlow","%","4.2"
"Percentage change since previous census","2016","Both sexes","State","Dublin City","%","5.1"
"Percentage change since previous census","2016","Both sexes","State","Dún Laoghaire-Rathdown","%","5.7"
"Percentage change since previous census","2016","Both sexes","State","Fingal","%","8"
"Percentage change since previous census","2016","Both sexes","State","South Dublin","%","5.1"
"Percentage change since previous census","2016","Both sexes","State","Kildare","%","5.8"
"Percentage change since previous census","2016","Both sexes","State","Kilkenny","%","4"
"Percentage change since previous census","2016","Both sexes","State","Laois","%","5.1"
"Percentage change since previous census","2016","Both sexes","State","Longford","%","4.8"
"Percentage change since previous census","2016","Both sexes","State","Louth","%","4.9"
"Percentage change since previous census","2016","Both sexes","State","Meath","%","5.9"
"Percentage change since previous census","2016","Both sexes","State","Offaly","%","1.7"
"Percentage change since previous census","2016","Both sexes","State","Westmeath","%","3"
"Percentage change since previous census","2016","Both sexes","State","Wexford","%","3"
"Percentage change since previous census","2016","Both sexes","State","Wicklow","%","4.2"
"Percentage change since previous census","2016","Both sexes","State","Clare","%","1.4"
"Percentage change since previous census","2016","Both sexes","State","Cork City","%","5.4"
"Percentage change since previous census","2016","Both sexes","State","Cork County","%","4.4"
"Percentage change since previous census","2016","Both sexes","State","Kerry","%","1.5"
"Percentage change since previous census","2016","Both sexes","State","Limerick City and County","%","1.6"
"Percentage change since previous census","2016","Both sexes","State","Tipperary","%","0.5"
"Percentage change since previous census","2016","Both sexes","State","Waterford City and County","%","2.1"
"Percentage change since previous census","2016","Both sexes","State","Galway City","%","4.2"
"Percentage change since previous census","2016","Both sexes","State","Galway County","%","2.4"
"Percentage change since previous census","2016","Both sexes","State","Leitrim","%","0.8"
"Percentage change since previous census","2016","Both sexes","State","Mayo","%","-0.1"
"Percentage change since previous census","2016","Both sexes","State","Roscommon","%","0.7"
"Percentage change since previous census","2016","Both sexes","State","Sligo","%","0.2"
"Percentage change since previous census","2016","Both sexes","State","Cavan","%","4.1"
"Percentage change since previous census","2016","Both sexes","State","Donegal","%","-1.2"
"Percentage change since previous census","2016","Both sexes","State","Monaghan","%","1.5"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","State","%","4.9"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Carlow","%","4.8"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Dublin City","%","5.1"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Dún Laoghaire-Rathdown","%","5.4"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Fingal","%","8.5"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","South Dublin","%","5.2"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Kildare","%","5.7"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Kilkenny","%","8.8"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Laois","%","7.3"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Longford","%","8.1"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Louth","%","7.7"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Meath","%","8.9"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Offaly","%","-0.6"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Westmeath","%","3.9"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Wexford","%","3.9"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Wicklow","%","4.1"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Clare","%","0.6"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Cork City","%","5.4"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Cork County","%","5.1"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Kerry","%","1.3"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Limerick City and County","%","1.6"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Tipperary","%","0.6"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Waterford City and County","%","1.3"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Galway City","%","4.2"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Galway County","%","0.9"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Leitrim","%","3.3"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Mayo","%","-1.6"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Roscommon","%","3.8"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Sligo","%","7.2"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Cavan","%","5.6"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Donegal","%","-1.9"
"Percentage change since previous census","2016","Both sexes","Aggregate Town Area","Monaghan","%","1.3"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","State","%","2"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Carlow","%","3.7"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Dublin City","%","0"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Dún Laoghaire-Rathdown","%","34.5"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Fingal","%","2.1"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","South Dublin","%","1.4"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Kildare","%","5.9"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Kilkenny","%","1.2"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Laois","%","3.2"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Longford","%","3.2"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Louth","%","-0.3"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Meath","%","2"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Offaly","%","3.4"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Westmeath","%","2.2"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Wexford","%","2.5"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Wicklow","%","4.5"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Clare","%","1.9"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Cork City","%","0"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Cork County","%","3.6"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Kerry","%","1.7"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Limerick City and County","%","1.6"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Tipperary","%","0.5"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Waterford City and County","%","3.4"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Galway City","%","0"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Galway County","%","2.9"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Leitrim","%","0.5"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Mayo","%","0.5"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Roscommon","%","-0.3"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Sligo","%","-3.9"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Cavan","%","3.5"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Donegal","%","-0.9"
"Percentage change since previous census","2016","Both sexes","Aggregate Rural Area","Monaghan","%","1.6"
"Percentage change since previous census","2016","Male","State","State","%","3.6"
"Percentage change since previous census","2016","Male","State","Carlow","%","3.8"
"Percentage change since previous census","2016","Male","State","Dublin City","%","5.8"
"Percentage change since previous census","2016","Male","State","Dún Laoghaire-Rathdown","%","6.1"
"Percentage change since previous census","2016","Male","State","Fingal","%","8"
"Percentage change since previous census","2016","Male","State","South Dublin","%","5.2"
"Percentage change since previous census","2016","Male","State","Kildare","%","5.6"
"Percentage change since previous census","2016","Male","State","Kilkenny","%","3.7"
"Percentage change since previous census","2016","Male","State","Laois","%","5.5"
"Percentage change since previous census","2016","Male","State","Longford","%","4.8"
"Percentage change since previous census","2016","Male","State","Louth","%","4.7"
"Percentage change since previous census","2016","Male","State","Meath","%","5.3"
"Percentage change since previous census","2016","Male","State","Offaly","%","1.1"
"Percentage change since previous census","2016","Male","State","Westmeath","%","3"
"Percentage change since previous census","2016","Male","State","Wexford","%","2.5"
"Percentage change since previous census","2016","Male","State","Wicklow","%","3.9"
"Percentage change since previous census","2016","Male","State","Clare","%","0.8"
"Percentage change since previous census","2016","Male","State","Cork City","%","4.9"
"Percentage change since previous census","2016","Male","State","Cork County","%","4.2"
"Percentage change since previous census","2016","Male","State","Kerry","%","0.6"
"Percentage change since previous census","2016","Male","State","Limerick City and County","%","1.6"
"Percentage change since previous census","2016","Male","State","Tipperary","%","0.1"
"Percentage change since previous census","2016","Male","State","Waterford City and County","%","2.1"
"Percentage change since previous census","2016","Male","State","Galway City","%","3.5"
"Percentage change since previous census","2016","Male","State","Galway County","%","1.8"
"Percentage change since previous census","2016","Male","State","Leitrim","%","-0.5"
"Percentage change since previous census","2016","Male","State","Mayo","%","-0.6"
"Percentage change since previous census","2016","Male","State","Roscommon","%","0.1"
"Percentage change since previous census","2016","Male","State","Sligo","%","-0.2"
"Percentage change since previous census","2016","Male","State","Cavan","%","3.6"
"Percentage change since previous census","2016","Male","State","Donegal","%","-1.9"
"Percentage change since previous census","2016","Male","State","Monaghan","%","1.4"
"Percentage change since previous census","2016","Male","Aggregate Town Area","State","%","5"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Carlow","%","4.8"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Dublin City","%","5.8"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Dún Laoghaire-Rathdown","%","5.8"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Fingal","%","8.6"
"Percentage change since previous census","2016","Male","Aggregate Town Area","South Dublin","%","5.3"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Kildare","%","5.5"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Kilkenny","%","8.9"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Laois","%","7.9"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Longford","%","9.9"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Louth","%","7.9"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Meath","%","8.2"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Offaly","%","-0.6"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Westmeath","%","4.2"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Wexford","%","3.6"
